SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
10-0745,NF002073,Semidi,0.999543244,2.181588347,1,1,10,nonbreeding,55.03278,-167.1025,
10-0762,NF002074,Semidi,0.994585032,1.143014039,1,0,7,breeding,,,
10-0764,NF002076,Pribilof,0.995673831,0.926300701,1,1,9,breeding,59.68333,-177.88333,
10-0777,NF002077,Pribilof,0.999913449,-1.521828639,1,1,7,breeding,58.99167,-176.625,
10-0778,NF002078,Chagulak,0.981230775,0.275101417,1,1,7,breeding,58.99167,-176.625,
10-0779,NF002079,Semidi,0.999834229,-1.745861168,1,1,7,breeding,51.71861,-178.39028,
10-0780,NF002080,Semidi,0.999808844,0.234933945,1,1,7,breeding,56.44833,-168.17,
10-0781,NF002081,StMatthew,0.999010737,-0.024935395,1,1,6,breeding,59.91083333,-178.9623333,
10-0782,NF002082,Semidi,0.999708236,0.130575738,1,1,7,breeding,58.59333,-173.41,
10-0784,NF002083,Semidi,0.998475859,-0.242927598,1,1,7,breeding,58.99167,-176.625,
10-0785,NF002084,Semidi,0.999464197,0.479435578,1,1,7,breeding,58.59333,-173.41,
10-0787,NF002086,Pribilof,0.999880821,-0.144756118,1,1,7,breeding,51.71861,-178.39028,
11-0194,NF001655,StMatthew,0.997553708,0.909399754,1,1,8,breeding,58.72167,-174.85167,
11-0195,NF001656,Semidi,0.999863511,0.611493782,1,1,8,breeding,59.20083,-176.39944,
11-0196,NF001657,Chagulak,0.998293163,0.392275472,1,1,1,nonbreeding,56.07361,-162.58722,3912
11-0197,NF001658,Chagulak,0.999458876,0.497159288,1,1,7,breeding,56.245,-171.18528,
11-0199,NF001659,StMatthew,0.999857256,-0.975258625,1,1,10,nonbreeding,56.12806,-169.72639,
11-0200,NF001660,Semidi,0.999895413,1.178773034,1,1,8,breeding,59.67833,-177.71833,
11-0201,NF001661,Semidi,0.989046069,0.111972028,1,1,10,nonbreeding,56.41667,-164.5,
11-0218,NF001662,Semidi,0.991546951,1.000870516,1,1,9,breeding,59.81111,-178.1875,3934
11-0223,NF001666,StMatthew,0.997285806,1.45010579,1,1,9,breeding,56.65,-169.88333,
11-0224,NF001667,StMatthew,0.992316347,-1.861367264,1,1,9,breeding,60,-176.25,
11-0225,NF001668,StMatthew,0.999958072,-1.265506242,1,1,10,nonbreeding,56.10167,-170.45,
11-0287,NF001671,Pribilof,0.999710186,0.885589153,1,1,12,nonbreeding,56.4175,-163.31444,3983
11-0331,NF001674,Semidi,0.999296639,1.006822484,0,1,,,45.755,-124.7633333,4000
11-0332,NF001675,Chagulak,0.999975276,1.549898328,1,1,11,nonbreeding,42.86667,-124.88333,
11-0333,NF001676,Chagulak,0.997000147,-1.068023204,1,1,11,nonbreeding,46.64,-124.71667,
11-0347,NF001678,Pribilof,0.998056583,1.265781299,1,1,12,nonbreeding,44.23333,-125,
11-0348,NF001679,StMatthew,0.995118587,0.247287446,1,1,8,breeding,58.76833,-175.915,4017
11-0349,NF001680,Semidi,0.999597043,-0.264709777,1,1,11,nonbreeding,56.00667,-169.995,4018
11-0350,NF001681,Semidi,0.999992494,-0.159455097,1,1,10,nonbreeding,56.41667,-164.5,
11-0351,NF001682,Semidi,0.99984897,-0.492353567,1,1,11,nonbreeding,56.03,-169.55167,4020
11-0352,NF001683,StMatthew,0.998391139,0.716034174,1,1,11,nonbreeding,56.00667,-169.995,4021
11-0355,NF001686,Pribilof,0.999592516,-0.069225728,1,1,11,nonbreeding,56.70111,-166.34,
11-0368,NF001691,StMatthew,0.994443154,0.343117863,1,1,2,nonbreeding,56.82333,-173.10667,
11-0369,NF001692,Semidi,0.925499056,0.152599614,1,1,2,nonbreeding,56.81667,-172.65333,
11-0371,NF001694,Semidi,0.999958589,0.054456593,1,1,3,nonbreeding,56.80167,-170.94,4040
11-0373,NF001696,Pribilof,0.988784886,1.197524443,1,1,1,nonbreeding,56.38306,-165.59778,
11-0375,NF001698,Semidi,0.996503764,-0.339605606,1,1,3,nonbreeding,52.265,-173.71167,
11-0376,NF001699,Semidi,0.998052522,-1.404182425,0,0,,,,,4045
11-0565,NF001702,Pribilof,0.999956451,1.112801959,1,1,10,nonbreeding,56.10167,-170.45,
11-0566,NF001703,Pribilof,0.993672001,1.174310198,1,1,10,nonbreeding,57.36667,-164.2,
11-0567,NF001704,Semidi,0.996720616,0.235378754,1,1,11,nonbreeding,59,-177.02639,
11-0568,NF001705,Semidi,0.99968975,1.529082513,1,1,10,nonbreeding,55.06167,-165.79833,4065
11-0569,NF001706,StMatthew,0.964474904,-0.79864979,1,1,10,nonbreeding,55.98333,-165.28333,
11-0570,NF001707,Chagulak,0.991882592,0.32088824,1,1,10,nonbreeding,54.85,-165.65,
11-0572,NF001709,Chagulak,0.999901696,-2.19731249,1,1,11,nonbreeding,59,-177.02639,
11-0573,NF001710,Pribilof,0.998578687,0.292992811,1,1,10,nonbreeding,56.86278,-170.84389,
11-0575,NF001712,StMatthew,0.999965359,0.591150526,1,1,1,nonbreeding,58.95639,-175.90167,
11-0576,NF001713,Semidi,0.999588726,1.530146534,1,1,2,nonbreeding,56.41667,-166.51167,
11-0578,NF001715,Pribilof,0.999524414,1.452385465,1,1,1,nonbreeding,59.88361,-176.57944,
11-0579,NF001716,StMatthew,0.99587328,0.640186593,1,1,2,nonbreeding,56.80833,-173.165,
11-0582,NF001719,Semidi,0.999975682,0.42975445,1,1,2,nonbreeding,52.02,-171.97833,
11-0583,NF001720,StMatthew,0.998684267,-0.510750949,1,1,1,nonbreeding,56.15,-162.75,
11-0589,NF001725,Semidi,0.999859936,0.855510807,1,1,10,nonbreeding,56.92361,-170.96278,
11-0590,NF001726,StMatthew,0.995397324,2.091994182,1,1,10,nonbreeding,56.92361,-170.96278,
11-0591,NF001727,StMatthew,0.999981592,-0.914789449,1,1,10,nonbreeding,56.92361,-170.96278,
11-0592,NF001728,Semidi,0.996144603,2.145555441,1,1,1,nonbreeding,58.95639,-175.90167,
11-0593,NF001729,Chagulak,0.964860799,1.143623166,1,1,3,nonbreeding,56.78861,-172.96972,
11-0630,NF001731,Chagulak,0.98877254,-0.240160755,1,1,10,nonbreeding,55.76167,-168.21667,
11-0635,NF001735,Pribilof,0.98969656,0.004728705,1,1,8,breeding,59.20083,-176.39944,
11-0636,NF001736,Semidi,0.999376628,-0.64772701,1,1,11,nonbreeding,56.85472,-168.18333,
11-0640,NF001740,Semidi,0.999905314,1.027175375,1,1,10,nonbreeding,57.35,-164.25,
11-0642,NF001742,Pribilof,0.996814436,2.3296083,1,1,10,nonbreeding,56.85667,-173.355,
11-0643,NF001743,Chagulak,0.988067365,-1.219620139,1,1,7,breeding,58.6,-177.33333,
11-0645,NF001745,Semidi,0.999991406,1.339403601,1,1,7,breeding,55.29917,-156.69917,4139
11-0648,NF001746,Chagulak,0.99443677,-0.273451428,1,1,8,breeding,57.03611,-172.93306,
11-0650,NF001748,Semidi,0.970272448,2.414426202,1,1,3,nonbreeding,59.21667,-146.21667,4144
